AMPID,EXTNAME,GAIN,GAIN_ERR,RDNOISE,RDNOISE_ERR,SATURAT,LINMAX,READDIR,STATUS,CAMPAIGN,DATE,CONFIG,RN_ADU,OVSC_RMS_ADU,BIAS_ADU,BIAS_DRIFT_ADU,PTC_CURV_A,PTC_NPTS,PTC_RESID_PCT,LIN_RATE_ADU_S,LIN_PEDESTAL_ADU,LIN_A1,LIN_A2,LIN_RANGE_LO,LIN_RANGE_HI,LIN_NOTE,CTE_SERIAL,PRNU_PCT,GAIN_STAB_PCT,GAIN_HDR,RDNOISE_HDR
1,M01T,1.69,0.008,8.859,0.222,-1,55279,na,FLOOD(105.16),LEGACY-SAAO-20260701,20260701,legacy-OSU-32amp,5.242,4.448,34460.0,15.0,1.515e-06,8,0.39,1406.3,-261.4,9.114e-09,3.367e-14,38544,55279,ramp-limited,1.0000000,0.843,1.167,1.8,7.1
2,M02T,1.8151,0.0084,9.515,0.389,-1,58573,na,OK,LEGACY-SAAO-20260701,20260701,legacy-OSU-32amp,5.242,3.706,34409.0,20.0,7.831e-07,10,0.48,1353.2,-457.8,2.678e-08,-5.907e-13,38228,58573,ramp-limited,1.0000000,0.85,0.816,1.9,7.2
3,M03T,1.6667,0.0084,8.736,0.219,-1,55461,na,FLOOD(148.44),LEGACY-SAAO-20260701,20260701,legacy-OSU-32amp,5.242,4.448,34390.0,23.0,1.270e-06,8,0.42,1423.5,-280.8,8.383e-09,2.046e-13,38522,55461,ramp-limited,1.0000000,0.862,0.689,1.7,6.9
4,M04T,1.726,0.008,9.047,0.302,-1,55129,na,FLOOD(-14.63),LEGACY-SAAO-20260701,20260701,legacy-OSU-32amp,5.242,3.706,34505.0,19.0,1.692e-06,8,0.39,1390.9,-254.4,-1.162e-08,1.678e-12,38577,55129,ramp-limited,1.0000000,0.848,0.878,2.0,6.8
5,M05T,1.7074,0.0078,9.845,0.374,-1,54980,na,FLOOD(23.44),LEGACY-SAAO-20260701,20260701,legacy-OSU-32amp,5.766,4.448,34496.0,23.0,1.813e-06,8,0.38,1380.9,-207.9,3.044e-09,3.622e-13,38548,54980,ramp-limited,,0.844,0.749,1.7,7.9
6,M06T,1.6781,0.0076,8.796,0.337,-1,55192,na,FLOOD(72.82),LEGACY-SAAO-20260701,20260701,legacy-OSU-32amp,5.242,4.448,34449.0,24.0,1.933e-06,8,0.38,1397.6,-208.9,-2.778e-09,7.842e-13,38560,55192,ramp-limited,,0.834,0.947,1.7,7.9
7,M07T,1.6165,0.006,10.168,0.324,-1,55455,na,FLOOD(106.86),LEGACY-SAAO-20260701,20260701,legacy-OSU-32amp,6.29,4.448,34519.0,21.0,2.458e-06,8,0.31,1408.9,-184.1,-1.142e-08,1.313e-12,38689,55455,ramp-limited,,0.825,0.976,1.8,7.1
8,M08T,1.6691,0.0082,8.749,0.0,-1,51122,na,FLOOD(8.78),LEGACY-SAAO-20260701,20260701,legacy-OSU-32amp,5.242,4.448,34509.0,28.0,1.947e-06,7,0.38,1392.0,-244.2,-4.783e-08,4.902e-12,38574,51122,ramp-limited,,0.834,0.646,1.7,7.0
9,M01B,1.6948,0.0086,8.884,0.297,-1,55744,na,FLOOD(105.16),LEGACY-SAAO-20260701,20260701,legacy-OSU-32amp,5.242,4.448,34458.0,14.0,1.509e-06,8,0.42,1438.0,-266.6,9.160e-09,-2.241e-16,38632,55744,ramp-limited,,0.789,0.713,1.8,7.1
10,M02B,1.709,0.2998,7.167,0.299,-1,59075,na,OK,LEGACY-SAAO-20260701,20260701,legacy-OSU-32amp,4.193,3.706,34406.0,19.0,2.255e-06,11,19.58,1380.9,-452.4,1.532e-08,-8.611e-14,38303,59075,ramp-limited,1.0000000,0.79,0.747,1.9,7.2
