AMPID,EXTNAME,GAIN,GAIN_ERR,RDNOISE,RDNOISE_ERR,SATURAT,LINMAX,READDIR,STATUS,CAMPAIGN,DATE,CONFIG,RN_ADU,OVSC_RMS_ADU,BIAS_ADU,BIAS_DRIFT_ADU,PTC_CURV_A,PTC_NPTS,PTC_RESID_PCT,LIN_RATE_ADU_S,LIN_PEDESTAL_ADU,LIN_A1,LIN_A2,LIN_RANGE_LO,LIN_RANGE_HI,LIN_NOTE,CTE_SERIAL,PRNU_PCT,GAIN_STAB_PCT,GAIN_HDR,RDNOISE_HDR
1,M01T,1.9917,0.0108,8.352,0.0,-1,55761,na,FLOOD(-7.07),LEGACY-CTIO-20260714,20260714,legacy-OSU-32amp,4.193,3.706,34784.0,9.0,-2.062e-07,11,0.64,1407.1,23.4,-4.066e-08,2.634e-12,38964,55761,ramp-limited,1.0000000,1.011,1.158,1.7,7.3
2,M02T,1.8773,0.0102,7.872,0.0,62245,56944,na,OK,LEGACY-CTIO-20260714,20260714,legacy-OSU-32amp,4.193,4.448,34797.0,9.0,-6.684e-07,11,0.64,1486.0,11.0,-3.639e-08,2.224e-12,39205,56944,ramp-limited,1.0000000,0.983,1.273,1.5,8.0
3,M03T,1.9224,0.0097,8.061,0.0,-1,56000,na,FLOOD(-8.67),LEGACY-CTIO-20260714,20260714,legacy-OSU-32amp,4.193,3.706,34796.0,10.0,3.823e-07,11,0.6,1418.5,96.3,-4.487e-08,2.909e-12,39066,56000,ramp-limited,1.0000000,0.966,1.477,1.6,7.3
4,M04T,1.9276,0.007,6.062,0.338,-1,55419,na,OK,LEGACY-CTIO-20260714,20260714,legacy-OSU-32amp,3.145,2.965,34776.0,15.0,8.567e-07,11,0.44,1378.7,135.3,-4.826e-08,3.229e-12,38960,55419,ramp-limited,1.0000000,0.962,1.579,1.7,8.1
5,M05T,1.7151,0.0057,7.192,0.0,62570,57340,na,OK,LEGACY-CTIO-20260714,20260714,legacy-OSU-32amp,4.193,3.706,34785.0,19.0,2.525e-06,11,0.4,1498.1,310.3,-5.446e-08,3.436e-12,39453,57340,ramp-limited,0.9999833,0.944,1.321,1.7,8.6
6,M06T,1.9045,0.0073,7.986,0.0,-1,55501,na,FLOOD(11.6),LEGACY-CTIO-20260714,20260714,legacy-OSU-32amp,4.193,3.706,34776.5,23.0,1.086e-06,11,0.46,1381.9,180.0,-5.134e-08,3.456e-12,39003,55501,ramp-limited,0.9999847,0.962,1.418,1.7,7.9
7,M07T,2.1124,0.0108,6.644,0.0,-1,58879,na,FLOOD(10.47),LEGACY-CTIO-20260714,20260714,legacy-OSU-32amp,3.145,2.965,34764.0,16.0,-1.136e-06,12,0.67,1333.0,-243.2,-1.572e-07,8.802e-12,38614,58879,ramp-limited,0.9999867,0.981,1.236,1.7,7.0
8,M08T,1.8151,0.0065,5.709,0.318,61887,56305,na,FLOOD(19.94),LEGACY-CTIO-20260714,20260714,legacy-OSU-32amp,3.145,2.965,34795.0,18.0,1.153e-06,11,0.43,1433.2,206.5,-5.094e-08,3.307e-12,39195,56305,ramp-limited,0.9999854,0.99,1.418,1.6,6.8
9,M01B,1.987,0.0132,8.332,0.0,-1,56119,na,FLOOD(-7.07),LEGACY-CTIO-20260714,20260714,legacy-OSU-32amp,4.193,3.706,34784.0,9.0,-2.738e-07,11,0.79,1431.2,23.6,-4.013e-08,2.559e-12,39035,56119,ramp-limited,1.0000000,0.974,1.183,1.7,7.3
10,M02B,1.872,0.0136,7.85,0.0,62449,57240,na,OK,LEGACY-CTIO-20260714,20260714,legacy-OSU-32amp,4.193,4.448,34797.0,9.0,-7.140e-07,11,0.86,1505.9,10.7,-3.601e-08,2.173e-12,39263,57240,ramp-limited,1.0000000,0.939,1.44,1.5,8.0
