AMPID,EXTNAME,GAIN,GAIN_ERR,RDNOISE,RDNOISE_ERR,SATURAT,LINMAX,READDIR,STATUS,CAMPAIGN,DATE,CONFIG,RN_ADU,OVSC_RMS_ADU,BIAS_ADU,BIAS_DRIFT_ADU,PTC_CURV_A,PTC_NPTS,PTC_RESID_PCT,LIN_RATE_ADU_S,LIN_PEDESTAL_ADU,LIN_A1,LIN_A2,LIN_RANGE_LO,LIN_RANGE_HI,LIN_NOTE,CTE_SERIAL,PRNU_PCT,GAIN_STAB_PCT,GAIN_HDR,RDNOISE_HDR
1,M01T,1.6076,0.0104,6.741,0.0,-1,55004,na,OK,LEGACY-SSO-20260610,20260610,legacy-OSU-32amp,4.193,3.706,34472.0,3.0,2.451e-06,8,0.33,2075.5,-347.6,2.557e-08,-5.715e-13,39486,55004,ramp-limited,1.0000000,0.869,0.617,1.6,7.0
2,M02T,1.6356,0.0129,6.859,0.0,-1,54797,na,FLOOD(-7.19),LEGACY-SSO-20260610,20260610,legacy-OSU-32amp,4.193,4.448,34522.0,3.0,2.424e-06,8,0.4,2047.9,-323.8,2.466e-08,-5.500e-13,39486,54797,ramp-limited,1.0000000,0.856,0.721,1.6,6.8
3,M03T,1.6229,0.0116,6.805,0.0,-1,54945,na,FLOOD(8.73),LEGACY-SSO-20260610,20260610,legacy-OSU-32amp,4.193,4.448,34461.0,2.0,2.830e-06,8,0.36,2066.1,-292.7,2.243e-08,-4.860e-13,39497,54945,ramp-limited,1.0000000,0.866,0.753,1.6,7.3
4,M04T,1.6534,0.0114,6.933,0.0,-1,55345,na,OK,LEGACY-SSO-20260610,20260610,legacy-OSU-32amp,4.193,3.706,34442.5,2.0,2.012e-06,8,0.34,2113.5,-362.8,2.565e-08,-5.462e-13,39543,55345,ramp-limited,1.0000000,0.873,0.604,1.6,6.7
5,M05T,1.7075,0.013,7.16,0.0,-1,54968,na,FLOOD(-10.58),LEGACY-SSO-20260610,20260610,legacy-OSU-32amp,4.193,4.448,34364.0,3.0,2.297e-06,8,0.38,2081.7,-336.8,2.467e-08,-5.354e-13,39404,54968,ramp-limited,0.9999845,0.876,0.874,1.6,7.1
6,M06T,1.6806,0.0114,8.81,0.0,-1,55387,na,FLOOD(-13.0),LEGACY-SSO-20260610,20260610,legacy-OSU-32amp,5.242,4.448,34363.5,5.0,2.329e-06,8,0.34,2123.1,-334.1,2.400e-08,-5.019e-13,39513,55387,ramp-limited,0.9999851,0.876,0.684,1.6,8.1
7,M07T,1.5534,0.0103,6.514,0.0,62874,-1,na,FLOOD(-16.86),LEGACY-SSO-20260610,20260610,legacy-OSU-32amp,4.193,4.448,34462.5,3.0,2.893e-06,7,0.3,0,0,0.000e+00,0.000e+00,0,0,TOO_FEW_LEVELS,0.9999865,0.873,0.493,1.5,7.0
8,M08T,1.5489,0.0047,6.495,0.0,63442,-1,na,FLOOD(-19.67),LEGACY-SSO-20260610,20260610,legacy-OSU-32amp,4.193,4.448,34447.5,4.0,3.315e-06,4,0.12,0,0,0.000e+00,0.000e+00,0,0,TOO_FEW_LEVELS,0.9999873,0.893,0.64,1.6,7.0
9,M01B,1.6232,0.0185,6.807,0.0,-1,55404,na,OK,LEGACY-SSO-20260610,20260610,legacy-OSU-32amp,4.193,3.706,34472.0,3.0,2.089e-06,8,0.57,2115.8,-352.5,2.513e-08,-5.496e-13,39586,55404,ramp-limited,1.0000000,0.858,0.965,1.6,7.0
10,M02B,1.6416,0.0173,6.884,0.0,-1,55117,na,FLOOD(-7.19),LEGACY-SSO-20260610,20260610,legacy-OSU-32amp,4.193,4.448,34521.0,3.0,2.285e-06,8,0.53,2080.0,-326.0,2.426e-08,-5.319e-13,39565,55117,ramp-limited,1.0000000,0.847,0.952,1.6,6.8
11,M03B,1.6271,0.0174,6.823,0.0,-1,55248,na,FLOOD(8.73),LEGACY-SSO-20260610,20260610,legacy-OSU-32amp,4.193,4.448,34460.5,3.0,2.720e-06,8,0.54,2096.5,-294.4,2.206e-08,-4.681e-13,39573,55248,ramp-limited,1.0000000,0.859,0.837,1.6,7.3
12,M04B,1.6567,0.0174,6.947,0.0,-1,55659,na,OK,LEGACY-SSO-20260610,20260610,legacy-OSU-32amp,4.193,3.706,34442.5,2.0,1.943e-06,8,0.52,2145.1,-367.0,2.533e-08,-5.303e-13,39621,55659,ramp-limited,1.0000000,0.871,0.814,1.6,6.7
13,M05B,1.7156,0.0192,7.194,0.0,-1,55338,na,FLOOD(-10.58),LEGACY-SSO-20260610,20260610,legacy-OSU-32amp,4.193,4.448,34364.0,3.0,2.163e-06,8,0.56,2119.1,-342.7,2.419e-08,-5.123e-13,39495,55338,ramp-limited,0.9999848,0.876,0.854,1.6,7.1
14,M06B,1.6828,0.0195,8.821,0.0,-1,55829,na,FLOOD(-13.0),LEGACY-SSO-20260610,20260610,legacy-OSU-32amp,5.242,4.448,34363.5,4.0,2.295e-06,8,0.58,2167.7,-341.1,2.379e-08,-4.917e-13,39622,55829,ramp-limited,0.9999855,0.874,1.024,1.6,8.1
15,M07B,0.0,0.0,0.0,0.0,63856,-1,na,TOO_FEW_PAIRS;FLOOD(-16.86),LEGACY-SSO-20260610,20260610,legacy-OSU-32amp,4.193,4.448,34462.0,4.0,0.000e+00,2,0,0,0,0.000e+00,0.000e+00,0,0,TOO_FEW_LEVELS,0.9999869,0.873,0.736,1.5,7.0
16,M08B,0.0,0.0,0.0,0.0,64161,-1,na,TOO_FEW_PAIRS;FLOOD(-19.67),LEGACY-SSO-20260610,20260610,legacy-OSU-32amp,4.193,4.448,34447.5,3.0,0.000e+00,2,0,0,0,0.000e+00,0.000e+00,0,0,TOO_FEW_LEVELS,0.9999877,0.892,1.015,1.6,7.0
17,K01T,1.5926,0.0243,6.679,0.0,62969,56940,na,OK,LEGACY-SSO-20260610,20260610,legacy-OSU-32amp,4.193,4.448,34467.5,2.0,2.588e-06,8,0.77,2265.3,-305.5,2.042e-08,-4.110e-13,40004,56940,ramp-limited,1.0000000,1.744,1.098,1.6,7.3
18,K02T,1.5602,0.0218,8.178,0.0,63183,57099,na,OK,LEGACY-SSO-20260610,20260610,legacy-OSU-32amp,5.242,4.448,34448.0,3.0,2.901e-06,8,0.7,2280.7,-277.0,1.924e-08,-3.867e-13,40048,57099,ramp-limited,1.0000000,1.222,1.244,1.6,8.0
19,K03T,1.6548,0.0141,6.939,0.0,62129,56292,na,OK,LEGACY-SSO-20260610,20260610,legacy-OSU-32amp,4.193,4.448,34438.5,3.0,2.752e-06,8,0.43,2202.5,-293.9,2.130e-08,-4.331e-13,39826,56292,ramp-limited,1.0000000,1.021,0.713,1.6,7.6
20,K04T,1.6634,0.0137,6.975,0.0,61977,56199,na,OK,LEGACY-SSO-20260610,20260610,legacy-OSU-32amp,4.193,4.448,34397.0,3.0,2.694e-06,8,0.41,2198.6,-308.8,2.215e-08,-4.607e-13,39762,56199,ramp-limited,1.0000000,0.962,0.733,1.6,7.5
21,K05T,1.672,0.0124,7.011,0.0,62160,56262,na,FLOOD(-12.94),LEGACY-SSO-20260610,20260610,legacy-OSU-32amp,4.193,4.448,34432.5,2.0,2.796e-06,8,0.37,2200.5,-299.1,2.160e-08,-4.470e-13,39810,56262,ramp-limited,0.9999858,0.969,0.705,1.7,7.5
