AMPID,EXTNAME,GAIN,GAIN_ERR,RDNOISE,RDNOISE_ERR,SATURAT,LINMAX,READDIR,STATUS,CAMPAIGN,DATE,CONFIG,RN_ADU,OVSC_RMS_ADU,BIAS_ADU,BIAS_DRIFT_ADU,PTC_CURV_A,PTC_NPTS,PTC_RESID_PCT,LIN_RATE_ADU_S,LIN_PEDESTAL_ADU,LIN_A1,LIN_A2,LIN_RANGE_LO,LIN_RANGE_HI,LIN_NOTE,CTE_SERIAL,PRNU_PCT,GAIN_STAB_PCT,GAIN_HDR,RDNOISE_HDR
19,K03T,1.6572,0.0072,6.95,0.0,63238,56489,na,OK,LEGACY-SSO-20260710,20260710,legacy-OSU-32amp,4.193,4.448,34439.5,8.0,2.633e-06,12,0.49,2231.1,-217.3,1.050e-08,-2.491e-13,39688,56489,ramp-limited,1.0000000,1.021,0.715,1.6,7.6
20,K04T,1.668,0.0069,6.995,0.0,63069,56386,na,OK,LEGACY-SSO-20260710,20260710,legacy-OSU-32amp,4.193,4.448,34397.5,5.0,2.550e-06,12,0.47,2226.1,-229.5,1.025e-08,-2.444e-13,39624,56386,ramp-limited,1.0000000,0.961,0.947,1.6,7.5
21,K05T,1.6748,0.0074,7.023,0.0,63248,56449,na,FLOOD(-14.12),LEGACY-SSO-20260710,20260710,legacy-OSU-32amp,4.193,4.448,34431.0,3.0,2.685e-06,12,0.5,2228.4,-220.5,1.060e-08,-2.531e-13,39669,56449,ramp-limited,0.9999857,0.968,0.862,1.7,7.5
22,K06T,1.6729,0.0072,7.015,0.0,63727,56728,na,FLOOD(-8.82),LEGACY-SSO-20260710,20260710,legacy-OSU-32amp,4.193,4.448,34384.0,1.0,2.096e-06,12,0.48,2266.0,-279.8,8.878e-09,-1.995e-13,39665,56728,ramp-limited,0.9999855,0.941,0.757,1.6,7.3
23,K07T,1.6112,0.0062,7.601,0.353,64033,57269,na,FLOOD(-17.15),LEGACY-SSO-20260710,20260710,legacy-OSU-32amp,4.718,4.448,34484.0,3.0,2.893e-06,11,0.43,2305.1,-215.7,1.070e-08,-2.490e-13,39912,57269,ramp-limited,0.9999853,0.874,0.849,1.6,7.6
24,K08T,1.666,0.0113,8.733,0.334,63577,56796,na,FLOOD(-7.41),LEGACY-SSO-20260710,20260710,legacy-OSU-32amp,5.242,4.448,34447.0,2.0,1.976e-06,11,0.75,2265.0,-259.5,9.877e-09,-2.347e-13,39741,56796,ramp-limited,0.9999861,0.863,0.835,1.6,8.1
25,K01B,1.5882,0.0071,6.66,0.341,64206,57769,na,OK,LEGACY-SSO-20260710,20260710,legacy-OSU-32amp,4.193,4.448,34466.5,7.0,2.704e-06,12,0.5,2358.4,-232.8,1.001e-08,-2.279e-13,40011,57769,ramp-limited,1.0000000,0.963,0.785,1.6,7.3
26,K02B,1.5585,0.0069,8.169,0.0,64203,57849,na,OK,LEGACY-SSO-20260710,20260710,legacy-OSU-32amp,5.242,4.818,34448.5,7.0,2.898e-06,12,0.5,2365.5,-200.3,1.086e-08,-2.465e-13,40037,57849,ramp-limited,1.0000000,0.904,0.775,1.6,8.0
27,K03B,1.6596,0.0075,6.959,0.0,63483,56950,na,OK,LEGACY-SSO-20260710,20260710,legacy-OSU-32amp,4.193,4.448,34438.5,8.0,2.427e-06,12,0.51,2277.8,-221.3,1.017e-08,-2.356e-13,39798,56950,ramp-limited,1.0000000,0.931,0.818,1.6,7.6
28,K04B,1.6668,0.0077,6.99,0.0,63455,56812,na,OK,LEGACY-SSO-20260710,20260710,legacy-OSU-32amp,4.193,4.448,34397.5,6.0,2.396e-06,12,0.52,2269.4,-235.3,1.002e-08,-2.346e-13,39724,56812,ramp-limited,1.0000000,0.968,0.8,1.6,7.5
