22:23:35:21 0.00 1.85 0.00 0.00 -5.950 18.2 1.15
22:23:37:52 1.83 1.60 2.02 1.73 -5.950 18.2 1.15
22:23:39:22 1.83 1.45 3.15 2.97 -5.950 18.1 1.15
22:23:40:08 1.85 2.06 2.25 2.07 -5.950 18.1 1.15
22:23:40:54 1.91 2.43 2.02 2.08 -5.950 18.1 1.16
22:23:42:32 1.90 2.22 2.52 2.13 -5.950 18.1 1.16
22:23:43:18 1.86 1.84 2.06 1.81 -5.950 18.1 1.16
22:23:44:04 1.75 1.86 2.01 1.89 -5.950 18.1 1.16
22:23:45:42 1.92 2.00 2.10 2.02 -5.950 18.0 1.16
22:23:46:28 1.71 2.23 2.21 2.01 -5.950 18.0 1.16
22:23:47:15 1.78 1.96 2.30 2.21 -5.950 18.0 1.16
22:23:48:52 1.85 2.03 2.07 1.84 -5.937 18.0 1.16
22:23:49:37 1.81 1.84 2.08 1.77 -5.937 18.0 1.16
22:23:50:24 1.71 1.81 1.97 1.80 -5.937 18.0 1.16
22:23:51:50 1.75 1.87 1.95 2.09 -5.937 17.9 1.16
22:23:52:37 1.84 1.91 2.07 2.04 -5.937 17.9 1.16
22:23:53:24 1.79 1.78 2.11 2.03 -5.937 17.9 1.16
22:23:55:00 1.83 1.65 2.10 2.12 -5.928 17.9 1.16
22:23:55:47 1.74 1.84 1.95 1.81 -5.925 17.8 1.16
22:23:56:33 1.80 1.80 2.12 1.91 -5.925 17.8 1.16
22:23:57:59 1.85 2.29 1.98 1.86 -5.916 17.8 1.16
22:23:58:46 1.96 2.02 2.10 1.95 -5.916 17.8 1.16
22:23:59:32 1.80 1.80 2.09 2.01 -5.913 17.8 1.16
23:00:01:08 1.88 2.21 2.14 2.01 -5.913 17.8 1.16
23:00:01:55 1.69 1.82 2.02 1.81 -5.913 17.7 1.16
23:00:02:41 1.60 1.77 1.84 1.60 -5.913 17.7 1.17
23:00:04:19 1.70 1.95 2.02 1.90 -5.906 17.7 1.17
23:00:05:04 1.74 1.96 2.14 1.91 -5.906 17.7 1.17
23:00:05:51 1.71 1.74 1.91 1.87 -5.906 17.6 1.17
23:00:07:19 1.84 2.04 2.36 2.26 -5.906 17.6 1.17
23:00:08:06 1.70 1.72 1.96 1.79 -5.899 17.6 1.17
23:00:08:53 1.76 1.52 1.98 1.77 -5.899 17.6 1.17
23:00:10:30 1.68 1.96 2.07 1.61 -5.880 17.6 1.17
23:00:11:16 1.78 1.87 2.01 1.97 -5.880 17.5 1.17
23:00:12:03 1.84 2.05 2.02 2.16 -5.880 17.6 1.17
23:00:13:40 1.73 1.70 1.99 1.95 -5.880 17.6 1.17
23:00:14:26 1.64 1.93 1.82 1.71 -5.885 17.5 1.18
23:00:15:12 1.75 1.80 2.02 1.70 -5.885 17.5 1.18
23:00:17:27 1.78 1.24 1.97 1.95 -5.879 17.5 1.18
23:00:18:13 1.85 2.27 2.05 2.19 -5.879 17.5 1.18
23:00:18:58 1.91 1.72 2.19 2.19 -5.879 17.5 1.18
23:00:20:37 1.89 2.14 2.16 2.30 -5.879 17.5 1.18
23:00:21:24 1.84 1.87 2.01 1.87 -5.879 17.5 1.18
23:00:22:10 1.90 1.92 2.21 1.98 -5.879 17.5 1.18
23:00:23:49 1.92 1.83 2.15 2.02 -5.879 17.5 1.19
23:00:24:36 1.84 1.83 2.26 1.99 -5.879 17.4 1.19
23:00:25:22 1.84 2.35 2.11 2.41 -5.879 17.4 1.19
23:00:26:59 1.82 1.82 2.05 1.67 -5.872 17.3 1.19
23:00:27:46 1.80 1.84 2.05 1.88 -5.872 17.3 1.19
23:00:28:31 1.79 1.89 2.02 1.97 -5.865 17.3 1.19
23:00:30:10 1.82 1.58 2.06 1.80 -5.865 17.3 1.19
23:00:30:56 1.95 1.78 2.21 1.98 -5.865 17.3 1.20
23:00:31:43 2.08 2.05 2.31 2.11 -5.865 17.3 1.20
23:00:33:20 2.03 1.93 2.30 2.16 -5.865 17.3 1.20
23:00:34:07 1.96 2.08 2.37 2.12 -5.865 17.2 1.20
23:00:34:53 1.92 1.97 2.47 2.13 -5.865 17.2 1.20
